record_key,title,abstract,authors,publication_year,publication_date,venue,doi,url,type,cited_by_count,source_database,query_id,original_record_id,retrieved_at,is_preprint,arxiv_id,formal_doi,screening_status,screening_label,screening_confidence,screening_reason
arxiv:2609.10412,Towards Scalable and Cost-Efficient Vulnerability Detection: A Study on Automatic Query Generation,"Static analysis remains a cornerstone of software security, yet the effectiveness of tools such as CodeQL is often limited by the substantial manual effort required to develop high-coverage query suites. While large language models (LLMs) have emerged as a potential solution for automated code reasoning, their practical utility in generating structured, executable security queries remains underexplored. In this paper, we conduct an empirical study to evaluate the ability of LLMs to synthesize CodeQL queries using vulnerability data from the National Vulnerability Database. Through this investigation, we explore the potential of using LLMs as an automatic CodeQL query generator. Subsequently, we systematically evaluate the performance of various LLM architectures across a diverse set of real-world vulnerabilities, measuring their ability to improve detection coverage and precision. Our findings reveal that LLM-generated queries significantly enhance the baseline CodeQL queries, yielding 82% improvement in average F1-score. Furthermore, we provide a detailed cost- benefit analysis showing that while direct LLM-based scanning of entire repositories is often computationally and financially prohibitive, leveraging LLMs to synthesize CodeQL queries offers a scalable and cost-effective alternative for large-scale vulnerability detection. Our results suggest that LLMs can effectively bridge the gap between unstructured vulnerability reports and formal static analysis specifications, offering a scalable path toward comprehensive automated vulnerability detection.",Ivana Clairine Irsan; Ratnadira Widyasari; Huihui Huang; Ting Zhang; Yue Liu; Ouh Eng Lieh; Shar Lwin Khin; Kang Hong Jin; David Lo,2026,2026-09-09,arXiv (Cornell University),10.48550/arxiv.2609.10412,https://arxiv.org/abs/2609.10412,preprint,0,OpenAlex;arXiv,Q1.v1;Q1.v3;Q3.v1;Q4.A1;Q4.v1,https://openalex.org/W7212151849,2026-09-22T06:28:33+00:00,1,2609.10412,,,,,
doi:10.32734/jocai.v10i2.24898,"SecureLite: Lightweight Vulnerability Detection on CVEFixes with TF‐IDF, Gradient Boosting, and a Tiny Transformer plus LLM‐Assisted Triage","Static application security testing remains difficult to deploy at scale in Python repositories because practical tools must be accurate, fast, and interpretable under extreme class imbalance. This paper introduces SecureLite, a lightweight pipeline that combines (i) a compact vulnerability detector trained on statement‐annotated data and (ii) an LLM‐assisted triage stage that converts detector evidence into actionable fix guidance. We conduct experiments on the DetectVul/CVEFixes dataset, using its provided train/test splits (4,584/1,146 Python functions). Each function is represented as a sequence of statements, statement types, and per‐statement vulnerability labels. We convert these labels into a function‐level target and compare four efficient detectors: token TF‐IDF + logistic regression (SGD), type‐aware token TF‐IDF, character TF‐IDF, and a LightGBM model over 15 static features. We additionally train a tiny Transformer encoder (TinyVulFormer‐XS) to test whether a minimal self‐attention model can compete with linear baselines under small‐data constraints. On the test set, the best lightweight models (character TF‐IDF and type‐aware token TF‐IDF) achieve AUROC 0.925 and AUPRC 0.381 with an F1 score of 0.421 at a 0.5 decision threshold, outperforming both static‐feature boosting and the tiny Transformer. We further analyze threshold sensitivity, error modes, and how LLM triage can reduce analyst time by proposing fixes and unit tests for high‐risk predictions. The resulting system offers a reproducible, CPU‐friendly baseline for Python vulnerability screening and a practical blueprint for integrating lightweight detection with LLM‐guided remediation.",Qi Xin,2026,2026-09-07,Data Science Journal of Computing and Applied Informatics,10.32734/jocai.v10i2.24898,https://doi.org/10.32734/jocai.v10i2.24898,article,0,OpenAlex,Q1.v1;Q3.v1,https://openalex.org/W7210281426,2026-09-22T06:28:33+00:00,0,,10.32734/jocai.v10i2.24898,,,,
arxiv:2609.09641,UnsafeChecker: Finding Soundness Bugs in Rust Safe Abstractions,"Rust guarantees memory safety without garbage collection through a strict ownership and borrowing system. However, for low-level systems programming, many widely used libraries rely on the unsafe keyword. These libraries encapsulate raw-pointer operations behind safe APIs to form safe abstractions. A single mistake in this internal unsafe code can break its safety contract, rendering the abstraction unsound and allowing safe clients to trigger undefined behavior. Detecting these potential soundness violations is challenging. Existing static analysis tools for C/C++ ignore Rust-specific safety contracts, while current Rust tools lack the deep semantic modeling required to track the contexts that raw pointers erase. To address this gap, we present UnsafeChecker, a compiler-integrated static analysis framework for detecting potential soundness violations in Rust safe abstractions. UnsafeChecker analyzes Rust MIR using a flow-sensitive abstract interpretation that maintains a shared state with three components: ownership, object validity, and layout. Each warning rule consumes the subset of facts needed for the corresponding Rust safety obligation. UnsafeChecker reports both instruction-level undefined behavior and boundary-level contract violations that may escape through safe APIs. We evaluate UnsafeChecker on a benchmark of 46 RustSec vulnerabilities, which contain 53 ground-truth bugs. UnsafeChecker outperforms several state-of-the-art tools, detecting 32 CVEs and covering 36 bugs (67.9% recall) with 51.6% alert-level precision. Furthermore, in a large-scale scan of real-world crates on crates.io, UnsafeChecker uncovered 114 previously unknown bugs across 83 crates, with 45 confirmed and 27 already fixed by maintainers.",Xizhe Yin; Yaokun Zhang; Yang Feng; Baowen Xu,2026,2026-09-09,arXiv (Cornell University),10.48550/arxiv.2609.09641,https://arxiv.org/abs/2609.09641,preprint,0,OpenAlex,Q1.v2,https://openalex.org/W7212153472,2026-09-22T06:30:10+00:00,1,2609.09641,,,,,
doi:10.3897/jucs.207391,SKAEG: Automatic Exploit Generation Based on Shared Keywords in Embedded Systems,"Existing Automatic Exploit Generation (AEG) solutions primarily target Linux and Windows binary files. Currently, only one AEG framework for IoT devices—IoTAEG—has been proposed, which emphasizes bypassing diverse protection mechanisms and relies on real devices for exploit generation. To enhance the efficiency of exploit generation for IoT firmware vulnerabilities, we present Automatic Exploit Generation Based on Shared Keywords (SKAEG) in embedded systems, a novel shared-keyword-based approach. SKAEG automatically detects and analyses vulnerabilities within IoT device firmware and generates exploits subsequently. It first extracts shared keywords from firmware to guide taint analysis for vulnerability detection. To improve efficiency, pruning strategies are applied during taint analysis to eliminate infeasible paths. Subsequently, we introduce two new modules: Exploitability Analysis, which evaluates whether identified vulnerabilities can be exploited, and Frontend File Parsing, which constructs request packets based on shared keywords. This design enables SKAEG to integrate vulnerability analysis with concrete exploit generation, thereby facilitating the automated construction of complete exploits. Experimental results demonstrate that SKAEG successfully detects and exploits vulnerabilities across 10 IoT devices from 4 manufacturers, covering 8 CVE-listed vulnerabilities. Additionally, the exploitability analysis accurately identifies 51 non-exploitable vulnerabilities. Through optimized symbolic execution, SKAEG addresses solver crash issues and achieves superior exploit generation efficiency compared to IoTAEG.",Shaoguang Wu; Jiyou Chang; Jiannan Guo; Fang Chen; Hongchang Wei; Zhijuan Wang; Guanghua Zhang; Yijie Chu,2026,2026-09-14,JUCS - Journal of Universal Computer Science,10.3897/jucs.207391,https://doi.org/10.3897/jucs.207391,article,0,OpenAlex,Q1.v3,https://openalex.org/W7212587240,2026-09-22T06:30:13+00:00,0,,10.3897/jucs.207391,,,,
doi:10.5281/zenodo.22698136,"Artifact for ""PatchAudit: Uncovering Faulty Security Patches and Lingering Zero-Days at Scale""","# PatchAudit — Research Artifact This is the replication artifact for the paper *""PatchAudit: Uncovering Faulty Security Patches and Lingering Zero-Days at Scale.""* PatchAudit audits a CVE's security patch to decide whether it is a faulty (""bad"") patch. Given a CVE's initial patch commit `C1` and the repository, it finds whether any later commit `C2` is a *future commit* — one that continues the fix because `C1` was **incomplete** (left the same vulnerability reachable) or **incorrect** (introduced a defect a later commit had to repair). If such a future commit exists, `C1` is a bad patch; if even the latest future commit still does not close the hole, it is a lingering (zero-day) bad patch. ## Approach (three phases) 1. **Explicit Intent Identification** — extract explicit references (a CVE id or `C1`'s commit hash) from a later commit's message and validate that it genuinely continues `C1`'s fix; only high-confidence explicit matches skip Phase 2.2. **Implicit Intent Analysis** — build a Code Property Graph (Joern), intersect the interprocedural forward slices of `C1` and the candidate into the *InterSlice*, and let a fine-tuned code LLM (Qwen3-14B) — reasoning as an agent that retrieves additional function/variable context as needed — decide whether the candidate shares `C1`'s patching intent.3. **Multi-Pronged Verification** — an independent GPT-5 judge audits the reasoning while CodeQL and Semgrep provide corroborating vulnerability-state evidence (used only when reliable, otherwise treated as a possible false negative). Arbitration accepts on mutual support; otherwise it runs a bounded refinement loop and falls back to the agent's prediction. The output is a `future-commit` / `not-future-commit` label, with an `incomplete` / `incorrect` classification for a bad patch. ## Contents The artifact is a single self-contained analysis image, `patchaudit-analysis-image.tar.zst` (≈3.5 GB), with everything pinned: - The full Phase 1–3 pipeline (`tools/`) and the built analysis environment: Joern 4.0.614, CodeQL 2.26.4 (python/java/cpp packs), Semgrep 1.175.0, JDK 21, Python.- `models/` — the fine-tuned LoRA adapters over Qwen3-14B (Phase-1 and Phase-2).- `data/` — **BadPatch-Bench**: `badpatch_bench_full.jsonl` (4,118 labeled `(C1, Ci)` pairs behind Table 1) with the `phase1_train` / `phase2_train` / `test` (565-pair, project-disjoint) splits; the measurement-study data and scripts (`data/reproduce/`); and zero-day / re-exploitation proofs-of-concept (`data/zero_day_pocs/`, for defensive research only).- `examples/` — two worked cases: Django CVE-2021-31542 (from the paper) and NOAA-PMEL/LAS CVE-2025-62193 (a new 2026 CVE). ## Running it ```bashzstd -dc patchaudit-analysis-image.tar.zst | docker loaddocker run --rm --network host -e OPENAI_API_KEY -v $PWD/examples:/cases \ -v /path/to/repo:/repos/ :ro patchaudit-analysis:latest /cases/case_CVE-2021-31542 all --stop-at-first-yes``` Phase 2 needs a GPU serving Qwen3-14B (a single 24 GB GPU is enough via the 4-bit backend; `tools/vllm_server.sh` runs the faster path). The Phase-2 model is downloaded on demand from a **public** HuggingFace repo (`zhcharyzhang/patchaudit-phase2`, no token). Phase 3 verification uses the GPT-5 API (`OPENAI_API_KEY`). Full setup, the table/figure reproduction steps, and troubleshooting are in the bundled `README.md`.",Zhengsong Zhang; Haipeng Cai,2026,2026-09-10,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.22698136,https://doi.org/10.5281/zenodo.22698136,dataset,0,OpenAlex,Q2.v1,https://openalex.org/W7212229793,2026-09-22T06:30:16+00:00,0,,10.5281/zenodo.22698136,,,,
doi:10.5281/zenodo.22698135,"Artifact for ""PatchAudit: Uncovering Faulty Security Patches and Lingering Zero-Days at Scale""","# PatchAudit — Research Artifact This is the replication artifact for the paper *""PatchAudit: Uncovering Faulty Security Patches and Lingering Zero-Days at Scale.""* PatchAudit audits a CVE's security patch to decide whether it is a faulty (""bad"") patch. Given a CVE's initial patch commit `C1` and the repository, it finds whether any later commit `C2` is a *future commit* — one that continues the fix because `C1` was **incomplete** (left the same vulnerability reachable) or **incorrect** (introduced a defect a later commit had to repair). If such a future commit exists, `C1` is a bad patch; if even the latest future commit still does not close the hole, it is a lingering (zero-day) bad patch. ## Approach (three phases) 1. **Explicit Intent Identification** — extract explicit references (a CVE id or `C1`'s commit hash) from a later commit's message and validate that it genuinely continues `C1`'s fix; only high-confidence explicit matches skip Phase 2.2. **Implicit Intent Analysis** — build a Code Property Graph (Joern), intersect the interprocedural forward slices of `C1` and the candidate into the *InterSlice*, and let a fine-tuned code LLM (Qwen3-14B) — reasoning as an agent that retrieves additional function/variable context as needed — decide whether the candidate shares `C1`'s patching intent.3. **Multi-Pronged Verification** — an independent GPT-5 judge audits the reasoning while CodeQL and Semgrep provide corroborating vulnerability-state evidence (used only when reliable, otherwise treated as a possible false negative). Arbitration accepts on mutual support; otherwise it runs a bounded refinement loop and falls back to the agent's prediction. The output is a `future-commit` / `not-future-commit` label, with an `incomplete` / `incorrect` classification for a bad patch. ## Contents The artifact is a single self-contained analysis image, `patchaudit-analysis-image.tar.zst` (≈3.5 GB), with everything pinned: - The full Phase 1–3 pipeline (`tools/`) and the built analysis environment: Joern 4.0.614, CodeQL 2.26.4 (python/java/cpp packs), Semgrep 1.175.0, JDK 21, Python.- `models/` — the fine-tuned LoRA adapters over Qwen3-14B (Phase-1 and Phase-2).- `data/` — **BadPatch-Bench**: `badpatch_bench_full.jsonl` (4,118 labeled `(C1, Ci)` pairs behind Table 1) with the `phase1_train` / `phase2_train` / `test` (565-pair, project-disjoint) splits; the measurement-study data and scripts (`data/reproduce/`); and zero-day / re-exploitation proofs-of-concept (`data/zero_day_pocs/`, for defensive research only).- `examples/` — two worked cases: Django CVE-2021-31542 (from the paper) and NOAA-PMEL/LAS CVE-2025-62193 (a new 2026 CVE). ## Running it ```bashzstd -dc patchaudit-analysis-image.tar.zst | docker loaddocker run --rm --network host -e OPENAI_API_KEY -v $PWD/examples:/cases \ -v /path/to/repo:/repos/ :ro patchaudit-analysis:latest /cases/case_CVE-2021-31542 all --stop-at-first-yes``` Phase 2 needs a GPU serving Qwen3-14B (a single 24 GB GPU is enough via the 4-bit backend; `tools/vllm_server.sh` runs the faster path). The Phase-2 model is downloaded on demand from a **public** HuggingFace repo (`zhcharyzhang/patchaudit-phase2`, no token). Phase 3 verification uses the GPT-5 API (`OPENAI_API_KEY`). Full setup, the table/figure reproduction steps, and troubleshooting are in the bundled `README.md`.",Zhengsong Zhang; Haipeng Cai,2026,2026-09-10,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.22698135,https://doi.org/10.5281/zenodo.22698135,dataset,0,OpenAlex,Q2.v1,https://openalex.org/W7212235258,2026-09-22T06:30:16+00:00,0,,10.5281/zenodo.22698135,,,,
doi:10.22214/ijraset.2026.84845,"The Ethics and Accuracy of Generative AI in Higher Education: Evaluating Student Reliance on AI Writing Tools, Epistemic Vulnerability, and Pedagogical Transformation","The rapid integration of Large Language Models (LLMs) and generative writing assistants into higher education represents a structural inflection point in academic composition, cognitive engagement, and institutional evaluation. While contemporary discourse frequently bifurcates between uncritical techno-optimism and blanket prohibition, this paper undertakes a systematic, empirical, and epistemic evaluation of student reliance on generative artificial intelligence (GenAI) writing tools. We investigate the dual challenges of algorithmic accuracy—specifically stochastic hallucination, context truncation, and the fabrication of scholarly provenance—and ethical dilemmas concerning cognitive offloading, epistemic vigilance, authorial authenticity, and surveillance-oriented integrity policing. Our analysis reveals that uncritical student reliance leads to cognitive schema bypassing, wherein the essential struggle of rhetorical synthesis is substituted with passive editorial curation. Furthermore, we demonstrate that statistical AI detection instruments suffer from severe false-positive asymmetries that systematically penalize non-native English writers while remaining trivial to evade through basic prompt manipulation. Finally, we articulate an actionable, process-oriented pedagogical framework comprising authentic assessment architecture, student-led algorithmic auditing, and a three-tiered institutional governance model designed to cultivate genuine epistemic agency in an automated landscape.",Mr. Rajiv Gurve; Dr. Mohammed Bakhtawar Ahmed,2026,2026-09-14,International Journal for Research in Applied Science and Engineering Technology,10.22214/ijraset.2026.84845,https://doi.org/10.22214/ijraset.2026.84845,article,0,OpenAlex,Q2.v2,https://openalex.org/W7213105848,2026-09-22T06:30:21+00:00,0,,10.22214/ijraset.2026.84845,,,,
arxiv:2609.15523,Automating Attack Graph Construction for Agentic Pentesting. Towards Neuro-Symbolic Vulnerability Hunting,"Logic attack graphs grounded in scanner output provide explicit and auditable attack path reasoning LLM-based agents lack. Integrating symbolic frameworks such as MulVAL to contemporary security workflows or agentic pipelines, however, requires translating scanner evidence to initial facts, and creating domain-specific rules. We present a semi-automated pipeline that addresses this interoperability problem and depict its feasibility in a web-security case study. Our pipeline parses findings from Trivy, Semgrep, and Nmap into MulVAL predicates and uses an LLM-assisted process to construct domain-specific Datalog rules linking scanner-detectable evidence to attack techniques. MulVAL/XSB then performs symbolic inference to generate structured attack paths. We evaluate the attack-graph construction infrastructure on 54 web Capture-the-Flag tasks from CyBench within an agentic pipeline (Hybrid Reasoner); we do not evaluate the performance of the downstream agent. Every task produced at least one goal-reaching graph, and we achieve mean ground-truth vulnerability coverage of 53.7%, with 51.9% achieving full coverage; mean noise-path rate was 83.9%. With median end-to-end time of 24.9 s (MulVAL reasoning: 2.7 s) the pipeline is feasible and runtime-practical for agentic workflows, but predicate coverage, rule coverage, and path precision remain limiting factors. Next steps include semantic rule validation and agent-level comparison for graph-guided pentesting.",Oliver Stevanović; Jasmin Wachter,2026,2026-09-14,arXiv (Cornell University),,https://arxiv.org/abs/2609.15523,preprint,0,OpenAlex;arXiv,Q2.v2;Q3.A1;Q4.A1,https://openalex.org/W7213371885,2026-09-22T06:30:21+00:00,1,2609.15523,,,,,
doi:10.5281/zenodo.22668215,LLMVul: A Vulnerability-Labeled Dataset of LLM-Generated C/C++ Functions from Real Production Repositories,"Large language models (LLMs) are increasingly used to generate and assist with software development, yet existing vulnerability datasets largely focus on human-written code or controlled prompting environments. This limits the ability to study security weaknesses in LLM-generated code as it appears in real-world software projects. We present LLMVul, a vulnerability-labeled dataset of LLM-generated C/C++ functions mined from real production repositories. We mine AI-assisted development activity from GitHub over a 4 year period, from November 13, 2022 to September 3, 2026, using provenance signals such as commit metadata and AI-related authorship evidence. After filtering and deduplication, LLMVul contains 21,430 unique C/C++ functions from 226 repositories, together with repository, commit, function, provenance, and AI-tool metadata. We establish vulnerability labels using an ensemble of complementary static-analysis and pattern-based techniques and assign Common Weakness Enumeration (CWE) categories to confirmed vulnerable functions. To assess labeling reliability, we additionally conduct independent manual annotation and measure inter-rater agreement using Cohen's kappa ($k=0.79$). LLMVul contains 1,540 ensemble-vulnerable functions spanning 17 unique CWE categories, providing substantially more real-world LLM-generated vulnerable C/C++ functions than existing vulnerability-oriented LLM code benchmarks. By preserving both code-level vulnerability labels and generation/provenance metadata, LLMVul enables reproducible research on vulnerability detection, security evaluation of LLM-generated code, and analysis of vulnerability patterns in AI-assisted software development. The LLMVul dataset is publicly available at https://doi.org/10.5281/zenodo.22668216.",Mohammad Farhad; Shuvalaxmi Dass,2026,2026-09-09,arXiv (Cornell University),10.5281/zenodo.22668215,https://arxiv.org/abs/2609.10945,preprint,0,OpenAlex;Semantic Scholar;arXiv,Q2.v2;Q3.A1;Q3.v1;Q3.v3;Q5.v1;Q5.v3;Q7.v2;Q7.v3,https://openalex.org/W7212010671,2026-09-22T06:30:21+00:00,0,2609.10945,10.5281/zenodo.22668215,,,,
doi:10.53941/tgina.2026.100005,Program Graph Learning for Software Vulnerability Analysis: A Survey,"Software vulnerabilities represent an enduring threat to modern cyberspace. Effective vulnerability detection increasingly relies on reasoning about complex program semantics, structural dependencies, and execution behaviors. Consequently, extracting vulnerability-relevant features from code efficiently has become a pressing research issue. In recent years, advances in graph representation learning and large language models have reframed vulnerability analysis as a graph learning problem over program entities. By building on and extending traditional methods including static analysis, dynamic analysis, symbolic execution, and fuzzing, this perspective enables more effective vulnerability detection, fine-grained localization, multi-class classification, and repair. We review recent progress in graph-driven vulnerability intelligence, structuring the survey around these tasks and then providing a structured overview of representative graph-based methods, graph-based multimodal methods, LLM-assisted methods, and vulnerability repair methods, together with widely adopted datasets, program graph construction tools, and computing frameworks. We then highlight several persistent challenges: interpretability, cross-language generalization, data quality and label noise, the lack of benchmark standardization, and agent-oriented vulnerability analysis. These challenges are often intertwined, complicating piecemeal solutions. Addressing them will be critical for developing reliable, transferable, and explainable vulnerability intelligence systems.",Junjie Wang; Tong Yu; Ming Li; Yuhang Hu; Junwei Hu; Xiantao Cai; Wenbin Hu; Alessio Borgi,2026,2026-09-09,Transactions on Graph Intelligence and Network Applications,10.53941/tgina.2026.100005,https://doi.org/10.53941/tgina.2026.100005,article,0,OpenAlex,Q2.v2;Q3.v1;Q6.v1;Q6.v2;Q6.v3;Q7.v2,https://openalex.org/W7213445259,2026-09-22T06:30:21+00:00,0,,10.53941/tgina.2026.100005,,,,
